M,K,N,Data_Type,Baseline_m,Baseline_k,Baseline_n,Baseline_GOPS,Baseline_DDR_Bytes,Opt_m,Opt_k,Opt_n,Opt_GOPS,Opt_DDR_Bytes,Throughput_Speedup,DDR_Traffic_Reduction
256,64,4096,bf16,32,32,32,46.2511,10485760,4,8,512,0.0,35684352,0.0,0.29
256,128,128,bf16,32,32,32,0.0,589824,128,32,16,4.22101,196608,0.0,3.0
256,128,256,bf16,32,32,32,5.30908,1179648,64,64,32,8.54618,458752,1.61,2.57
256,128,512,bf16,32,32,32,11.0033,2359296,64,16,64,17.1935,851968,1.56,2.77
256,128,1024,bf16,32,32,32,21.2441,4718592,32,16,128,35.9428,2686976,1.69,1.76
256,128,2048,bf16,32,32,32,43.9502,9437184,16,8,256,64.7353,9502720,1.47,0.99
256,128,4096,bf16,32,32,32,87.0555,18874368,4,8,512,0.0,69271552,0.0,0.27
256,256,128,bf16,32,32,32,0.0,1114112,128,32,16,8.75334,327680,0.0,3.4
256,256,256,bf16,32,32,32,11.5475,2228224,64,64,32,18.1176,786432,1.57,2.83
256,256,512,bf16,32,32,32,21.0921,4456448,64,16,64,32.6074,1441792,1.55,3.09
256,256,1024,bf16,32,32,32,45.6417,8912896,32,16,128,66.4873,4849664,1.46,1.84
256,256,2048,bf16,32,32,32,87.6371,17825792,16,8,256,127.594,17956864,1.46,0.99
256,256,4096,bf16,32,32,32,181.043,35651584,4,8,512,0.0,136445952,0.0,0.26
256,512,128,bf16,32,32,32,0.0,2162688,128,32,16,17.5127,589824,0.0,3.67
256,512,256,bf16,32,32,32,23.1819,4325376,64,64,32,33.0997,1441792,1.43,3.0
256,512,512,bf16,32,32,32,46.6307,8650752,64,16,64,63.3247,2621440,1.36,3.3
256,512,1024,bf16,32,32,32,89.8672,17301504,32,16,128,122.33,9175040,1.36,1.89
256,512,2048,bf16,32,32,32,173.126,34603008,16,8,256,214.156,34865152,1.24,0.99
256,512,4096,bf16,32,32,32,338.471,69206016,4,8,512,0.0,270794752,0.0,0.26
256,1024,128,bf16,32,32,32,0.0,4259840,128,32,16,33.7528,1114112,0.0,3.82
256,1024,256,bf16,32,32,32,42.5767,8519680,64,64,32,67.591,2752512,1.59,3.1
256,1024,512,bf16,32,32,32,85.6971,17039360,64,16,64,127.929,4980736,1.49,3.42
256,1024,1024,bf16,32,32,32,174.842,34078720,32,16,128,242.997,17825792,1.39,1.91
256,1024,2048,bf16,32,32,32,324.446,68157440,16,8,256,376.475,68681728,1.16,0.99
256,1024,4096,bf16,32,32,32,0.0,136314880,4,8,512,0.0,539492352,0.0,0.25
256,2048,128,bf16,32,32,32,0.0,8454144,32,128,16,65.1455,5308416,0.0,1.59
256,2048,256,bf16,32,32,32,88.8339,16908288,32,128,32,142.295,9568256,1.6,1.77
256,2048,512,bf16,32,32,32,181.604,33816576,32,64,64,241.578,18087936,1.33,1.87
256,2048,1024,bf16,32,32,32,320.407,67633152,32,16,128,402.441,35127296,1.26,1.93
256,2048,2048,bf16,32,32,32,0.0,135266304,16,8,256,0.0,136314880,0.0,0.99
256,2048,4096,bf16,32,32,32,875.512,270532608,4,8,512,0.0,1076887552,0.0,0.25
256,4096,128,bf16,32,32,32,0.0,16842752,32,128,16,127.99,10551296,0.0,1.6
256,4096,256,bf16,32,32,32,179.037,33685504,32,128,32,245.463,19005440,1.37,1.77
256,4096,512,bf16,32,32,32,345.937,67371008,32,64,64,432.655,35913728,1.25,1.88
256,4096,1024,bf16,32,32,32,0.0,134742016,32,16,128,0.0,69730304,0.0,1.93
256,4096,2048,bf16,32,32,32,828.68,269484032,16,8,256,684.805,271581184,0.83,0.99
256,4096,4096,bf16,32,32,32,1235.73,538968064,4,8,512,0.0,2151677952,0.0,0.25
512,64,128,bf16,32,32,32,0.0,655360,128,32,16,4.5669,262144,0.0,2.5
512,64,256,bf16,32,32,32,5.23426,1310720,64,64,32,8.26317,589824,1.58,2.22
512,64,512,bf16,32,32,32,11.0735,2621440,64,16,64,17.7759,1114112,1.61,2.35
512,64,1024,bf16,32,32,32,21.9425,5242880,32,16,128,32.6164,3211264,1.49,1.63
512,64,2048,bf16,32,32,32,44.1388,10485760,16,8,256,64.972,10551296,1.47,0.99
512,64,4096,bf16,32,32,32,77.3407,20971520,4,8,512,0.0,71368704,0.0,0.29
512,128,128,bf16,32,32,32,0.0,1179648,128,32,16,8.51373,393216,0.0,3.0
512,128,256,bf16,32,32,32,10.4092,2359296,64,64,32,16.4026,917504,1.58,2.57
512,128,512,bf16,32,32,32,22.0915,4718592,64,16,64,36.6379,1703936,1.66,2.77
512,128,1024,bf16,32,32,32,42.2002,9437184,32,16,128,68.3647,5373952,1.62,1.76
512,128,2048,bf16,32,32,32,86.0094,18874368,16,8,256,119.87,19005440,1.39,0.99
512,128,4096,bf16,32,32,32,166.626,37748736,4,8,512,0.0,138543104,0.0,0.27
512,256,128,bf16,32,32,32,0.0,2228224,128,32,16,17.261,655360,0.0,3.4
512,256,256,bf16,32,32,32,22.0697,4456448,64,64,32,33.7338,1572864,1.53,2.83
512,256,512,bf16,32,32,32,43.8012,8912896,64,16,64,65.9989,2883584,1.51,3.09
512,256,1024,bf16,32,32,32,85.2652,17825792,32,16,128,121.411,9699328,1.42,1.84
512,256,2048,bf16,32,32,32,170.048,35651584,16,8,256,217.364,35913728,1.28,0.99
512,256,4096,bf16,32,32,32,319.354,71303168,4,8,512,0.0,272891904,0.0,0.26
