M,K,N,Data_Type,Baseline_m,Baseline_k,Baseline_n,Baseline_GOPS,Baseline_DDR_Bytes,Opt_m,Opt_k,Opt_n,Opt_GOPS,Opt_DDR_Bytes,Throughput_Speedup,DDR_Traffic_Reduction
16,512,4096,bf16,32,32,32,0.0,0,4,8,512,0.0,16924672,0.0,0.0
16,1024,512,bf16,32,32,32,0.0,0,8,128,64,8.78375,2146304,0.0,0.0
16,1024,1024,bf16,32,32,32,0.0,0,8,64,128,18.8401,4259840,0.0,0.0
16,1024,2048,bf16,32,32,32,0.0,0,8,16,256,37.1987,8486912,0.0,0.0
16,1024,4096,bf16,32,32,32,0.0,0,4,8,512,0.0,33718272,0.0,0.0
16,2048,512,bf16,32,32,32,0.0,0,8,128,64,16.5071,4276224,0.0,0.0
16,2048,1024,bf16,32,32,32,0.0,0,8,64,128,34.9474,8486912,0.0,0.0
16,2048,2048,bf16,32,32,32,0.0,0,8,16,256,70.555,16908288,0.0,0.0
16,2048,4096,bf16,32,32,32,0.0,0,4,8,512,0.0,67305472,0.0,0.0
16,4096,512,bf16,32,32,32,0.0,0,8,128,64,36.2374,8536064,0.0,0.0
16,4096,1024,bf16,32,32,32,0.0,0,8,64,128,71.902,16941056,0.0,0.0
16,4096,2048,bf16,32,32,32,0.0,0,8,16,256,133.33,33751040,0.0,0.0
16,4096,4096,bf16,32,32,32,0.0,0,4,8,512,0.0,134479872,0.0,0.0
32,512,512,bf16,32,32,32,0.0,1081344,16,64,64,8.9352,1114112,0.0,0.97
32,512,1024,bf16,32,32,32,0.0,2162688,16,32,128,18.1041,2195456,0.0,0.99
32,512,2048,bf16,32,32,32,0.0,4325376,16,8,256,35.3729,4358144,0.0,0.99
32,512,4096,bf16,32,32,32,0.0,8650752,4,8,512,0.0,33849344,0.0,0.26
32,1024,512,bf16,32,32,32,0.0,2129920,16,64,64,17.8091,2195456,0.0,0.97
32,1024,1024,bf16,32,32,32,0.0,4259840,16,32,128,34.625,4325376,0.0,0.98
32,1024,2048,bf16,32,32,32,0.0,8519680,16,8,256,70.9032,8585216,0.0,0.99
32,1024,4096,bf16,32,32,32,0.0,17039360,4,8,512,0.0,67436544,0.0,0.25
32,2048,512,bf16,32,32,32,0.0,4227072,16,64,64,31.5896,4358144,0.0,0.97
32,2048,1024,bf16,32,32,32,0.0,8454144,16,32,128,71.3766,8585216,0.0,0.98
32,2048,2048,bf16,32,32,32,0.0,16908288,16,8,256,129.721,17039360,0.0,0.99
32,2048,4096,bf16,32,32,32,0.0,33816576,4,8,512,0.0,134610944,0.0,0.25
32,4096,512,bf16,32,32,32,0.0,8421376,16,64,64,71.0814,8683520,0.0,0.97
32,4096,1024,bf16,32,32,32,0.0,16842752,16,32,128,132.27,17104896,0.0,0.98
32,4096,2048,bf16,32,32,32,0.0,33685504,16,8,256,223.611,33947648,0.0,0.99
32,4096,4096,bf16,32,32,32,0.0,67371008,4,8,512,0.0,268959744,0.0,0.25
