M,K,N,Data_Type,Baseline_m,Baseline_k,Baseline_n,Baseline_GOPS,Baseline_DDR_Bytes,Opt_m,Opt_k,Opt_n,Opt_GOPS,Opt_DDR_Bytes,Throughput_Speedup,DDR_Traffic_Reduction
64,512,256,i16,32,32,32,0.0,1114112,32,128,32,9.45414,655360,0.0,1.7
64,512,512,i16,32,32,32,0.0,2228224,32,64,64,19.1596,1245184,0.0,1.79
64,512,1024,i16,32,32,32,0.0,4456448,32,16,128,33.9357,2424832,0.0,1.84
64,512,2048,i16,32,32,32,0.0,8912896,16,8,256,71.9793,8978432,0.0,0.99
64,512,4096,i16,32,32,32,0.0,17825792,8,4,512,136.669,34668544,0.0,0.51
64,1024,128,i16,32,32,32,0.0,1081344,32,128,16,8.62961,688128,0.0,1.57
64,1024,256,i16,32,32,32,0.0,2162688,32,128,32,17.6258,1245184,0.0,1.74
64,1024,512,i16,32,32,32,0.0,4325376,32,64,64,36.8325,2359296,0.0,1.83
64,1024,1024,i16,32,32,32,0.0,8650752,32,16,128,68.2505,4587520,0.0,1.89
64,1024,2048,i16,32,32,32,0.0,17301504,16,8,256,135.423,17432576,0.0,0.99
64,1024,4096,i16,32,32,32,0.0,34603008,8,4,512,234.95,68288512,0.0,0.51
64,2048,128,i16,32,32,32,0.0,2129920,32,128,16,19.9907,1343488,0.0,1.59
64,2048,256,i16,32,32,32,0.0,4259840,32,128,32,36.3706,2424832,0.0,1.76
64,2048,512,i16,32,32,32,0.0,8519680,32,64,64,70.7747,4587520,0.0,1.86
64,2048,1024,i16,32,32,32,0.0,17039360,32,16,128,141.357,8912896,0.0,1.91
64,2048,2048,i16,32,32,32,0.0,34078720,16,8,256,245.489,34340864,0.0,0.99
64,2048,4096,i16,32,32,32,0.0,68157440,8,4,512,384.546,135528448,0.0,0.5
64,4096,128,i16,32,32,32,0.0,4227072,32,128,16,35.4771,2654208,0.0,1.59
64,4096,256,i16,32,32,32,0.0,8454144,32,128,32,75.6793,4784128,0.0,1.77
64,4096,512,i16,32,32,32,0.0,16908288,32,64,64,146.84,9043968,0.0,1.87
64,4096,1024,i16,32,32,32,0.0,33816576,32,16,128,264.399,17563648,0.0,1.93
64,4096,2048,i16,32,32,32,0.0,67633152,16,8,256,413.089,68157440,0.0,0.99
64,4096,4096,i16,32,32,32,0.0,135266304,8,4,512,550.839,270008320,0.0,0.5
128,64,128,i16,32,32,32,0.0,196608,64,64,16,1.13742,114688,0.0,1.71
128,64,256,i16,32,32,32,1.39228,393216,64,64,32,2.21381,212992,1.59,1.85
128,64,512,i16,32,32,32,2.82967,786432,64,16,64,4.69333,409600,1.66,1.92
